INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Server,NG/SR01/IBMX3650M4/BANCSAPPNG2P,N/A,N/A,N/A,192.168.167.12,
Storage,V7000,N/A,N/A,N/A,192.168.167.110,
Server,OLD VMware Host 2 PROD,N/A,N/A,N/A,192.168.167.102,
Server,OLD Vmware Host 1 PROD,N/A,N/A,N/A,192.168.167.101,
Server,PDS vCenter,N/A,N/A,N/A,192.168.167.100,
Server,Coms and Reports 1,N/A,N/A,N/A,192.168.167.10,
STORAGE,NEW-DB-ORACLE-STORAGE1-19C,N/A,N/A,N/A,192.168.166.9,
STORAGE,NEW-SAN-SW2-ORACLE-19C_,N/A,N/A,N/A,192.168.166.8,
STORAGE,NEW-SAN-SW1-ORACLE-19C,N/A,N/A,N/A,192.168.166.7,
Server,PAM PROD HW MANAGEMENT ,N/A,N/A,N/A,192.168.166.23,
Server,PAM RECORDING HW MANAGEMENT,N/A,N/A,N/A,192.168.166.22,
Server,PAM HW MANAGEMENT DR (TEMP),N/A,N/A,N/A,192.168.166.21,
Server,NEW-VMWare-SEC,N/A,N/A,N/A,192.168.166.17,
Server,NEW-VMWare-PRI,N/A,N/A,N/A,192.168.166.16,
Server,NEW-VMWare-DB,N/A,N/A,N/A,192.168.166.15,
STORAGE,NEW-VMWare-SAN-SW2,N/A,N/A,N/A,192.168.166.14,
STORAGE,NEW-VMWare-SAN-SW1,N/A,N/A,N/A,192.168.166.13,
STORAGE,NEW-DB-ORACLE-STORAGE2-19C,N/A,N/A,N/A,192.168.166.10,
Server,VM  Host Test 1 ,N/A,N/A,N/A,192.168.168.118,
Server,VM  Host Test  2,N/A,N/A,N/A,192.168.168.119,
Server,VM Host Test 3 ,N/A,N/A,N/A,192.168.168.120,
Server,VM Helper for VMWare Converter(UAT Bancs Application Test Clone),N/A,N/A,N/A,192.168.168.200,
Server,EQ Reports Management,N/A,N/A,N/A,192.168.167.133,
TAPE,VEEAM Tape Library Autoloader,N/A,N/A,N/A,192.168.166.28,
Storage,VEEAM STORAGE - DR ,N/A,N/A,N/A,192.168.166.30,
Server,VEEAM Backup Server IDRAC,N/A,N/A,N/A,192.168.166.26,
Server,VEEAM Backup Server DR - IDRAC,N/A,N/A,N/A,192.168.166.29,
Server,Hardened Linux Server - IDRAC ,N/A,N/A,N/A,192.168.166.27,
Server,VM DR Project - Management IP for vCenter ,N/A,N/A,N/A,192.168.167.33,
Server,VM DR Project - Data Management IP for ESXI Host 2,N/A,N/A,N/A,192.168.167.32,
Server,VM DR Project - Data Management IP for ESXI Host 1,N/A,N/A,N/A,192.168.167.31,
Storage,VM DR Project - Unity Storage ,N/A,N/A,N/A,192.168.166.37,
Server,VM DR Project - ESXI 2 ,N/A,N/A,N/A,192.168.166.36,
Server,VM DR Project - ESXI Host 1 ,N/A,N/A,N/A,192.168.166.35,
Storage,VM DR Project - SAN Switch 2,N/A,N/A,N/A,192.168.166.34,
Storage,VM DR Project - SAN Switch 1,N/A,N/A,N/A,192.168.166.33,
Server,ASM Test Server - Automation Project,N/A,N/A,N/A,192.168.168.15,
Server,VERSA Log collector Server Management ,N/A,N/A,N/A,192.168.164.11,
Server,CAAC APP/DB Clone - For ASM Automation Test server,N/A,N/A,N/A,192.168.168.10,
