INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
STORAGE,NEW-SAN-SW1-ORACLE-19C,N/A,N/A,N/A,192.168.166.7,YES
Server,PAM PROD HW MANAGEMENT ,N/A,N/A,N/A,192.168.166.23,YES
Server,PAM RECORDING HW MANAGEMENT,N/A,N/A,N/A,192.168.166.22,YES
Server,PAM HW MANAGEMENT DR (TEMP),N/A,N/A,N/A,192.168.166.21,YES
Server,NEW-VMWare-SEC,N/A,N/A,N/A,192.168.166.17,YES
Server,NEW-VMWare-PRI,N/A,N/A,N/A,192.168.166.16,YES
Server,NEW-VMWare-DB,N/A,N/A,N/A,192.168.166.15,YES
STORAGE,NEW-VMWare-SAN-SW2,N/A,N/A,N/A,192.168.166.14,YES
STORAGE,NEW-VMWare-SAN-SW1,N/A,N/A,N/A,192.168.166.13,YES
STORAGE,NEW-DB-ORACLE-STORAGE2-19C,N/A,N/A,N/A,192.168.166.10,YES
Server,VM  Host Test 1 ,N/A,N/A,N/A,192.168.168.118,YES
Server,VM  Host Test  2,N/A,N/A,N/A,192.168.168.119,YES
Server,VM Host Test 3 ,N/A,N/A,N/A,192.168.168.120,NO
Server,VM Helper for VMWare Converter(UAT Bancs Application Test Clone),N/A,N/A,N/A,192.168.168.200,NO
Server,EQ Reports Management,N/A,N/A,N/A,192.168.167.133,NO
TAPE,VEEAM Tape Library Autoloader,N/A,N/A,N/A,192.168.166.28,YES
Storage,VEEAM STORAGE - DR ,N/A,N/A,N/A,192.168.166.30,NO
Server,VEEAM Backup Server IDRAC,N/A,N/A,N/A,192.168.166.26,YES
Server,VEEAM Backup Server DR - IDRAC,N/A,N/A,N/A,192.168.166.29,NO
Server,Hardened Linux Server - IDRAC ,N/A,N/A,N/A,192.168.166.27,YES
Server,VM DR Project - Management IP for vCenter ,N/A,N/A,N/A,192.168.167.33,NO
Server,VM DR Project - Data Management IP for ESXI Host 2,N/A,N/A,N/A,192.168.167.32,NO
Server,VM DR Project - Data Management IP for ESXI Host 1,N/A,N/A,N/A,192.168.167.31,NO
Storage,VM DR Project - Unity Storage ,N/A,N/A,N/A,192.168.166.37,NO
Server,VM DR Project - ESXI 2 ,N/A,N/A,N/A,192.168.166.36,NO
Server,VM DR Project - ESXI Host 1 ,N/A,N/A,N/A,192.168.166.35,NO
Storage,VM DR Project - SAN Switch 2,N/A,N/A,N/A,192.168.166.34,NO
Storage,VM DR Project - SAN Switch 1,N/A,N/A,N/A,192.168.166.33,NO
Server,ASM Test Server - Automation Project,N/A,N/A,N/A,192.168.168.15,YES
Server,VERSA Log collector Server Management ,N/A,N/A,N/A,192.168.164.11,YES
Server,CAAC APP/DB Clone - For ASM Automation Test server,N/A,N/A,N/A,192.168.168.10,YES
Server,Imperva log downloader Server,N/A,N/A,N/A,192.168.168.73 ,YES
Server,Bloomberg SFTP Test - For DEV Team,N/A,N/A,N/A,192.168.168.71,YES
Server,BSP API Test for OS Upgrade,N/A,N/A,N/A,192.168.168.72,YES
Server,DMS UAT Server,N/A,N/A,N/A,192.168.168.74,NO
Server,Temporary ESXI Destination,N/A,N/A,N/A,192.168.167.16,NO
Server,VMware Helper,N/A,N/A,N/A,192.168.167.200,NO
Storage,SVC Virtual IP Address for Node 1 - V6,N/A,N/A,N/A,192.168.167.136,YES
Server,HA Proxy test,N/A,N/A,N/A,192.168.168.75,YES
Server,VMWare VSphere Replication for PROD ,N/A,N/A,N/A,192.168.167.54,YES
Server,DAP UAT Server for BBG SFTP Testing ,N/A,N/A,N/A,192.168.168.76,YES
Storage,YES
",N/A,N/A,N/A,192.168.166.41,YES
Server,YES
",N/A,N/A,N/A,192.168.166.40,YES
Storage,Temporary Management IP for Storage - DR,N/A,N/A,N/A,192.168.166.39,NO
Server,Temporary Management IP for NFS Server DR ,N/A,N/A,N/A,192.168.166.38,NO
Server,CAAC DB Test Server for ASM Automation Project,N/A,N/A,N/A,192.168.168.77,YES
Server,IMM for Comms and Reports Node 2,N/A,N/A,N/A,192.168.167.9,YES
Server,IMM for Comms and Reports Node 1 ,N/A,N/A,N/A,192.168.167.11,NO
Server,YES
",N/A,N/A,N/A,192.168.168.92,YES
Server,YES
",N/A,N/A,N/A,192.168.167.45,YES
Server,PDTC Portal ,N/A,N/A,N/A,192.168.168.24,NO
Server,PDTC Portal APP/Web Server,N/A,N/A,N/A,192.168.168.23,NO
Facilities,YES

",N/A,N/A,N/A,192.168.167.240,YES
Facilities,YES
",N/A,N/A,N/A,192.168.167.151,YES
Server,TIS Test server ( Contrib) ,N/A,N/A,N/A,192.168.168.7,YES
Server,TIS Test sever ,N/A,N/A,N/A,192.168.168.6,YES
Server,PostgresSQL for Report Server (On-prem) ,N/A,N/A,N/A,192.168.168.26,YES
Server,Test Server for Multi Writer Application,N/A,N/A,N/A,192.168.168.34,NO
Server,Test Server for Multi Writer Application  ,N/A,N/A,N/A,192.168.168.33,NO
Server,Copy of LUCI Cluster Manager for Multi Writer Testing ,N/A,N/A,N/A,192.168.168.35,NO
Server,APP GATE ZERO TRUST Test - Located at TEST VM ,N/A,N/A,N/A,192.168.168.18,NO
